breaker_id,source_ob_id,source_ob_direction,flipped_direction,zone_high,zone_low,ob_creation_time,break_candle_time,break_candle_index,break_close_price,frozen_atr,displacement_atr,separation_confirm_time,separation_confirm_index,retest_time,retest_index,expired,valid_retest,bars_ob_creation_to_break,bars_break_to_separation,bars_break_to_retest,session,year,segment_id
82,232,bearish,bullish,1369.435000,1364.859500,2016-07-06 14:15:00,2016-07-06 15:00:00,12058,1372.416000,3.021214,2.030309,,,,,True,False,3,,,ny_overlap,2016,131
83,236,bearish,bullish,1358.539000,1357.800000,2016-07-08 07:15:00,2016-07-08 13:15:00,12235,1360.165500,1.253357,3.294352,2016-07-08 13:30:00,12236,2016-07-08 13:45:00,12237,False,True,24,1,2,ny_overlap,2016,133
84,237,bearish,bullish,1357.470000,1356.920000,2016-07-08 12:15:00,2016-07-08 13:15:00,12235,1360.165500,1.036429,3.822261,2016-07-08 13:30:00,12236,2016-07-08 13:45:00,12237,False,True,4,1,2,ny_overlap,2016,133
85,238,bullish,bearish,1355.303500,1353.508500,2016-07-08 12:30:00,2016-07-08 12:45:00,12233,1343.245000,1.684393,6.183831,2016-07-08 13:00:00,12234,2016-07-08 13:15:00,12235,False,True,1,1,2,ny_overlap,2016,133
86,244,bullish,bearish,1332.628500,1330.464000,2016-07-15 10:30:00,2016-07-15 12:45:00,12693,1329.060000,1.549357,3.247799,2016-07-15 13:30:00,12696,2016-07-15 15:45:00,12705,False,True,9,3,12,ny_overlap,2016,138
87,245,bearish,bullish,1336.300000,1334.180000,2016-07-15 12:45:00,2016-07-15 20:45:00,12725,1338.000000,1.989643,4.674457,2016-07-15 21:00:00,12726,,,True,False,32,1,,off_session,2016,138
88,247,bearish,bullish,1327.140000,1326.040000,2016-07-18 11:45:00,2016-07-18 12:30:00,12784,1328.570000,1.481464,2.383790,2016-07-18 12:45:00,12785,2016-07-18 16:15:00,12799,False,True,3,1,15,ny_overlap,2016,139
89,255,bearish,bullish,1317.310000,1316.409000,2016-07-25 13:45:00,2016-07-25 15:30:00,13256,1318.768000,1.358071,3.776679,2016-07-25 15:45:00,13257,2016-07-25 19:00:00,13270,False,True,7,1,14,ny_overlap,2016,144
90,260,bullish,bearish,1340.639500,1339.903500,2016-07-28 12:15:00,2016-07-28 14:45:00,13529,1337.890500,1.223393,4.019968,2016-07-28 15:00:00,13530,,,True,False,10,1,,ny_overlap,2016,147
91,263,bearish,bullish,1349.856500,1347.659500,2016-08-01 13:30:00,2016-08-01 15:30:00,13716,1350.879500,1.404607,2.442320,2016-08-01 15:45:00,13717,,,True,False,8,1,,ny_overlap,2016,149
92,267,bullish,bearish,1364.486000,1363.364000,2016-08-03 12:15:00,2016-08-03 13:15:00,13891,1360.862000,1.085857,2.957571,2016-08-03 13:30:00,13892,,,True,False,4,1,,ny_overlap,2016,151
93,270,bullish,bearish,1362.640000,1362.155000,2016-08-05 05:30:00,2016-08-05 10:30:00,14064,1361.524000,0.815071,2.418193,2016-08-05 10:45:00,14065,2016-08-05 11:15:00,14067,False,True,20,1,3,london,2016,153
94,275,bullish,bearish,1354.790000,1352.855500,2016-08-10 12:30:00,2016-08-10 14:00:00,14354,1349.106000,1.571821,2.666970,2016-08-10 14:15:00,14355,,,True,False,6,1,,ny_overlap,2016,156
95,277,bearish,bullish,1342.851000,1342.400000,2016-08-11 05:30:00,2016-08-11 07:15:00,14419,1344.391000,0.993821,2.622201,2016-08-11 07:30:00,14420,2016-08-11 18:15:00,14463,False,True,7,1,44,london,2016,157
96,278,bullish,bearish,1345.430000,1343.479000,2016-08-11 13:15:00,2016-08-11 19:00:00,14466,1341.081000,1.646000,3.229040,2016-08-11 19:15:00,14467,,,True,False,23,1,,off_session,2016,157
97,280,bearish,bullish,1339.803000,1338.980000,2016-08-12 08:45:00,2016-08-12 12:30:00,14532,1342.960000,1.136607,2.166976,2016-08-12 12:45:00,14533,2016-08-12 17:00:00,14550,False,True,15,1,18,ny_overlap,2016,158
98,281,bullish,bearish,1336.951500,1336.229500,2016-08-12 11:00:00,2016-08-12 18:45:00,14557,1335.309000,1.378607,3.765032,2016-08-12 19:00:00,14558,2016-08-12 20:30:00,14564,False,True,31,1,7,off_session,2016,158
99,283,bullish,bearish,1338.551000,1338.030000,2016-08-15 06:15:00,2016-08-15 12:45:00,14625,1337.366500,0.873357,2.290014,2016-08-15 13:00:00,14626,2016-08-15 13:15:00,14627,False,True,26,1,2,ny_overlap,2016,159
100,284,bearish,bullish,1342.301500,1341.130000,2016-08-15 09:00:00,2016-08-15 16:15:00,14639,1343.020000,1.184286,3.642280,,,,,True,False,29,,,ny_overlap,2016,159
101,285,bearish,bullish,1340.660000,1339.084500,2016-08-15 12:45:00,2016-08-15 14:45:00,14633,1341.991000,1.647643,2.700828,2016-08-15 15:00:00,14634,2016-08-15 17:00:00,14642,False,True,8,1,9,ny_overlap,2016,159
102,287,bullish,bearish,1344.350000,1343.529000,2016-08-16 03:45:00,2016-08-16 13:30:00,14721,1342.570500,1.239464,2.877049,,,,,True,False,39,,,ny_overlap,2016,160
103,289,bearish,bullish,1344.200000,1343.179000,2016-08-17 18:15:00,2016-08-17 18:30:00,14833,1349.140000,2.279107,3.556656,2016-08-17 18:45:00,14834,2016-08-17 19:00:00,14835,False,True,1,1,2,off_session,2016,161
104,291,bullish,bearish,1341.679500,1340.755500,2016-08-23 12:45:00,2016-08-23 15:15:00,15188,1339.670000,1.245964,3.234041,2016-08-23 15:30:00,15189,2016-08-23 17:00:00,15195,False,True,10,1,7,ny_overlap,2016,165
105,294,bullish,bearish,1337.624000,1336.864500,2016-08-24 08:45:00,2016-08-24 12:45:00,15270,1331.215500,1.048857,3.008513,2016-08-24 13:00:00,15271,,,True,False,16,1,,ny_overlap,2016,166
106,299,bearish,bullish,1331.472000,1328.921000,2016-08-26 14:15:00,2016-08-26 14:30:00,15461,1337.316000,3.387893,3.537154,2016-08-26 14:45:00,15462,2016-08-26 15:00:00,15463,False,True,1,1,2,ny_overlap,2016,168
107,301,bullish,bearish,1323.530000,1322.880000,2016-08-29 18:45:00,2016-08-29 20:45:00,15578,1322.209000,0.976000,2.397541,,,,,True,False,8,,,off_session,2016,169
108,304,bearish,bullish,1307.200000,1306.400000,2016-09-01 12:30:00,2016-09-01 13:15:00,15824,1307.810000,0.848714,3.468776,2016-09-01 14:15:00,15828,,,True,False,3,4,,ny_overlap,2016,172
109,306,bearish,bullish,1313.460000,1313.010500,2016-09-02 06:15:00,2016-09-02 12:00:00,15911,1314.184000,0.694750,3.252249,2016-09-02 13:00:00,15915,,,True,False,23,4,,ny_overlap,2016,173
110,307,bullish,bearish,1311.560000,1310.600000,2016-09-02 12:15:00,2016-09-02 12:30:00,15913,1308.340000,1.107000,4.180668,,,,,True,False,1,,,ny_overlap,2016,173
111,308,bearish,bullish,1314.566000,1312.670000,2016-09-02 12:30:00,2016-09-02 12:45:00,15914,1324.719500,2.145821,3.742623,2016-09-02 13:00:00,15915,,,True,False,1,1,,ny_overlap,2016,173
112,310,bearish,bullish,1349.030500,1348.120000,2016-09-07 12:15:00,2016-09-07 12:45:00,16168,1349.650000,1.064286,2.898658,2016-09-07 13:00:00,16169,2016-09-07 13:45:00,16172,False,True,2,1,4,ny_overlap,2016,177
113,313,bearish,bullish,1336.149000,1335.588500,2016-09-09 10:45:00,2016-09-09 12:15:00,16350,1337.268500,0.939107,2.448070,,,,,True,False,6,,,ny_overlap,2016,179
114,318,bullish,bearish,1324.115500,1322.170500,2016-09-15 12:45:00,2016-09-15 13:00:00,16722,1320.774000,1.606964,4.184598,2016-09-15 13:15:00,16723,,,True,False,1,1,,ny_overlap,2016,183
115,321,bullish,bearish,1316.195000,1315.584000,2016-09-19 07:15:00,2016-09-19 09:15:00,16891,1314.939500,0.785536,3.012594,2016-09-19 09:30:00,16892,2016-09-19 12:30:00,16904,False,True,8,1,13,london,2016,185
116,322,bullish,bearish,1316.340000,1315.710000,2016-09-20 07:00:00,2016-09-20 09:30:00,16984,1315.320000,0.502429,3.231305,2016-09-20 09:45:00,16985,2016-09-20 12:45:00,16997,False,True,10,1,13,london,2016,186
117,323,bearish,bullish,1317.110000,1316.530000,2016-09-21 04:30:00,2016-09-21 06:15:00,17063,1317.940000,1.178214,2.512276,2016-09-21 06:30:00,17064,,,True,False,7,1,,asian,2016,187
118,329,bearish,bullish,1335.645000,1335.255000,2016-09-27 05:45:00,2016-09-27 07:30:00,17436,1337.674500,0.604500,2.150538,2016-09-27 07:45:00,17437,2016-09-27 08:30:00,17440,False,True,7,1,4,london,2016,191
