WYCKOFF_RSI_ENTRY_RR_MATRIX_CONTEXT
tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv
bars=246886
date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC
compression_events_total=2800
wyckoff_covered_events=916
approach_a=enter immediately at compression-end close in signal direction
approach_b=enter broken range edge in breakout direction only when signal agrees
approach_a_simple_follow=oracle eventual breakout direction, included only as requested comparator
spread_usd_oz=0.20
fill_rule=TP limit at target; SL at adverse OHLC extreme; if same bar can hit both, stop first
approach_b_intrabar_note=edge entry uses next bar for TP/SL evaluation because breakout-bar tick order is unavailable
train_period=2016-01-03 through 2021-12-31; test_period=2022-01-01 through 2026-06-15

MATRIX_ALL
period,approach,stop,rr,horizon,signal,n,direction_correct,win_rate,breakeven_win_rate,win_minus_breakeven,net_expectancy_r,ci_low,ci_high,unresolved_pct,target_count,stop_count,force_count,avg_risk_usd_oz,avg_spread_r,ci_clears_zero
all,A_immediate_compression_close,atr_1x,2,20,coin_flip,916,51.31%,32.53%,38.26%,-5.73%,-0.562722,-0.677829,-0.447615,0.33%,296,617,3,2.422029,0.147776,False
all,A_immediate_compression_close,atr_1x,2,20,prior_momentum,915,47.43%,33.11%,38.26%,-5.14%,-0.560287,-0.677922,-0.442652,0.55%,300,610,5,2.423743,0.147681,False
all,A_immediate_compression_close,atr_1x,2,20,simple_follow,916,61.79%,56.00%,38.26%,17.75%,0.337476,0.225496,0.449455,0.66%,509,401,6,2.422029,0.147776,True
all,B_breakout_edge_filter,fixed_10,1,10,wyckoff_rsi,642,100.00%,59.66%,51.00%,8.66%,0.087913,0.036102,0.139723,72.27%,121,57,464,10.000000,0.020000,True
all,B_breakout_edge_filter,fixed_10,1,10,coin_flip,449,100.00%,57.91%,51.00%,6.91%,0.082094,0.013831,0.150358,70.82%,90,41,318,10.000000,0.020000,True
all,B_breakout_edge_filter,fixed_10,1,10,prior_momentum,526,100.00%,59.51%,51.00%,8.51%,0.071061,0.011854,0.130267,70.72%,101,53,372,10.000000,0.020000,True
all,B_breakout_edge_filter,fixed_10,1,10,simple_follow,916,100.00%,60.04%,51.00%,9.04%,0.098661,0.053553,0.143769,70.20%,191,82,643,10.000000,0.020000,True
all,B_breakout_edge_filter,fixed_10,1,20,wyckoff_rsi,642,100.00%,61.21%,51.00%,10.21%,0.115875,0.053524,0.178226,54.36%,192,101,349,10.000000,0.020000,True
all,B_breakout_edge_filter,fixed_10,1,20,coin_flip,449,100.00%,62.14%,51.00%,11.14%,0.096952,0.017499,0.176405,54.57%,133,71,245,10.000000,0.020000,True
all,B_breakout_edge_filter,fixed_10,1,20,prior_momentum,526,100.00%,59.13%,51.00%,8.13%,0.080747,0.010280,0.151214,53.23%,157,89,280,10.000000,0.020000,True
