WYCKOFF_RSI_ENTRY_RR_MATRIX_CONTEXT
tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv
bars=246886
date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC
compression_events_total=2800
wyckoff_covered_events=916
approach_a=enter immediately at compression-end close in signal direction
approach_b=enter broken range edge in breakout direction only when signal agrees
approach_a_simple_follow=oracle eventual breakout direction, included only as requested comparator
spread_usd_oz=0.20
fill_rule=TP limit at target; SL at adverse OHLC extreme; if same bar can hit both, stop first
approach_b_intrabar_note=edge entry uses next bar for TP/SL evaluation because breakout-bar tick order is unavailable
train_period=2016-01-03 through 2021-12-31; test_period=2022-01-01 through 2026-06-15

MATRIX_ALL
period,approach,stop,rr,horizon,signal,n,direction_correct,win_rate,breakeven_win_rate,win_minus_breakeven,net_expectancy_r,ci_low,ci_high,unresolved_pct,target_count,stop_count,force_count,avg_risk_usd_oz,avg_spread_r,ci_clears_zero
train_2016_2021,B_breakout_edge_filter,fixed_10,1,20,prior_momentum,326,100.00%,58.90%,51.00%,7.90%,0.085649,0.016652,0.154646,72.39%,60,30,236,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,1,20,simple_follow,557,100.00%,59.78%,51.00%,8.78%,0.082582,0.028867,0.136297,71.81%,102,55,400,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,2,10,wyckoff_rsi,392,100.00%,56.89%,34.00%,22.89%,0.067302,0.020331,0.114273,95.66%,3,14,375,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,2,10,coin_flip,273,100.00%,53.85%,34.00%,19.85%,0.073282,0.012224,0.134339,95.24%,2,11,260,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,2,10,prior_momentum,326,100.00%,57.98%,34.00%,23.98%,0.084094,0.027417,0.140771,94.48%,6,12,308,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,2,10,simple_follow,557,100.00%,57.27%,34.00%,23.27%,0.081746,0.038796,0.124696,94.97%,7,21,529,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,2,20,wyckoff_rsi,392,100.00%,59.18%,34.00%,25.18%,0.083549,0.014531,0.152568,86.73%,11,41,340,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,2,20,coin_flip,273,100.00%,59.34%,34.00%,25.34%,0.085569,-0.004602,0.175740,83.88%,12,32,229,10.000000,0.020000,False
train_2016_2021,B_breakout_edge_filter,fixed_10,2,20,prior_momentum,326,100.00%,56.44%,34.00%,22.44%,0.064578,-0.014495,0.143651,85.58%,12,35,279,10.000000,0.020000,False
train_2016_2021,B_breakout_edge_filter,fixed_10,2,20,simple_follow,557,100.00%,57.81%,34.00%,23.81%,0.066637,0.005775,0.127499,85.28%,19,63,475,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,atr_1x,1,10,wyckoff_rsi,392,100.00%,74.49%,58.27%,16.22%,0.172214,0.051182,0.293247,1.02%,289,99,4,1.512528,0.165340,True
train_2016_2021,B_breakout_edge_filter,atr_1x,1,10,coin_flip,273,100.00%,76.19%,58.14%,18.05%,0.221498,0.076410,0.366587,0.73%,207,64,2,1.599447,0.162894,True
train_2016_2021,B_breakout_edge_filter,atr_1x,1,10,prior_momentum,326,100.00%,75.46%,58.02%,17.44%,0.199427,0.066089,0.332765,1.23%,243,79,4,1.553264,0.160476,True
train_2016_2021,B_breakout_edge_filter,atr_1x,1,10,simple_follow,557,100.00%,76.12%,57.99%,18.13%,0.224627,0.127262,0.321992,1.08%,420,131,6,1.580814,0.159764,True
train_2016_2021,B_breakout_edge_filter,atr_1x,1,20,wyckoff_rsi,392,100.00%,74.74%,58.27%,16.48%,0.178123,0.056976,0.299270,0.51%,291,99,2,1.512528,0.165340,True
train_2016_2021,B_breakout_edge_filter,atr_1x,1,20,coin_flip,273,100.00%,76.56%,58.14%,18.41%,0.224127,0.079033,0.369221,0.73%,207,64,2,1.599447,0.162894,True
train_2016_2021,B_breakout_edge_filter,atr_1x,1,20,prior_momentum,326,100.00%,75.77%,58.02%,17.74%,0.206354,0.072968,0.339741,0.31%,246,79,1,1.553264,0.160476,True
train_2016_2021,B_breakout_edge_filter,atr_1x,1,20,simple_follow,557,100.00%,76.48%,57.99%,18.49%,0.231651,0.134240,0.329063,0.36%,424,131,2,1.580814,0.159764,True
train_2016_2021,B_breakout_edge_filter,atr_1x,2,10,wyckoff_rsi,392,100.00%,56.38%,38.84%,17.53%,0.218529,0.040361,0.396696,7.91%,195,166,31,1.512528,0.165340,True
train_2016_2021,B_breakout_edge_filter,atr_1x,2,10,coin_flip,273,100.00%,54.58%,38.76%,15.82%,0.196907,-0.018775,0.412589,7.69%,135,117,21,1.599447,0.162894,False
train_2016_2021,B_breakout_edge_filter,atr_1x,2,10,prior_momentum,326,100.00%,55.52%,38.68%,16.84%,0.208888,0.013287,0.404489,6.75%,163,141,22,1.553264,0.160476,True
train_2016_2021,B_breakout_edge_filter,atr_1x,2,10,simple_follow,557,100.00%,56.55%,38.66%,17.89%,0.235018,0.086042,0.383994,7.72%,281,233,43,1.580814,0.159764,True
train_2016_2021,B_breakout_edge_filter,atr_1x,2,20,wyckoff_rsi,392,100.00%,55.61%,38.84%,16.77%,0.214901,0.027849,0.401952,1.53%,212,174,6,1.512528,0.165340,True
train_2016_2021,B_breakout_edge_filter,atr_1x,2,20,coin_flip,273,100.00%,55.68%,38.76%,16.91%,0.250595,0.030082,0.471107,1.47%,149,120,4,1.599447,0.162894,True
train_2016_2021,B_breakout_edge_filter,atr_1x,2,20,prior_momentum,326,100.00%,55.21%,38.68%,16.53%,0.219870,0.014129,0.425610,1.23%,177,145,4,1.553264,0.160476,True
train_2016_2021,B_breakout_edge_filter,atr_1x,2,20,simple_follow,557,100.00%,56.01%,38.66%,17.36%,0.240501,0.085376,0.395625,1.80%,304,243,10,1.580814,0.159764,True

MATRIX_TEST_2022_2026
period,approach,stop,rr,horizon,signal,n,direction_correct,win_rate,breakeven_win_rate,win_minus_breakeven,net_expectancy_r,ci_low,ci_high,unresolved_pct,target_count,stop_count,force_count,avg_risk_usd_oz,avg_spread_r,ci_clears_zero
test_2022_2026,A_immediate_compression_close,fixed_10,1,10,wyckoff_rsi,359,50.70%,45.68%,51.00%,-5.32%,-0.166758,-0.265493,-0.068024,52.37%,81,90,188,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,1,10,coin_flip,359,52.09%,47.91%,51.00%,-3.09%,-0.145532,-0.236303,-0.054762,52.37%,77,94,188,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,1,10,prior_momentum,359,48.19%,47.08%,51.00%,-3.92%,-0.178098,-0.268305,-0.087891,52.37%,75,96,188,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,1,10,simple_follow,359,61.56%,72.98%,51.00%,21.98%,0.268697,0.191115,0.346279,52.37%,130,41,188,10.000000,0.020000,True
test_2022_2026,A_immediate_compression_close,fixed_10,1,20,wyckoff_rsi,359,50.70%,48.47%,51.00%,-2.53%,-0.181450,-0.292162,-0.070738,33.70%,111,127,121,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,1,20,coin_flip,359,52.09%,47.91%,51.00%,-3.09%,-0.177507,-0.282853,-0.072161,33.70%,109,129,121,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,1,20,prior_momentum,359,48.19%,45.96%,51.00%,-5.04%,-0.216924,-0.319751,-0.114096,33.70%,107,131,121,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,1,20,simple_follow,359,61.56%,71.31%,51.00%,20.31%,0.319130,0.230678,0.407582,33.70%,181,57,121,10.000000,0.020000,True
test_2022_2026,A_immediate_compression_close,fixed_10,2,10,wyckoff_rsi,359,50.70%,41.23%,34.00%,7.23%,-0.212950,-0.323037,-0.102862,64.90%,24,102,233,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,2,10,coin_flip,359,52.09%,43.73%,34.00%,9.73%,-0.176429,-0.282257,-0.070601,63.51%,26,105,228,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,2,10,prior_momentum,359,48.19%,43.73%,34.00%,9.73%,-0.183897,-0.289656,-0.078137,62.12%,31,105,223,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,2,10,simple_follow,359,61.56%,69.08%,34.00%,35.08%,0.307921,0.205156,0.410687,72.70%,47,51,261,10.000000,0.020000,True
test_2022_2026,A_immediate_compression_close,fixed_10,2,20,wyckoff_rsi,359,50.70%,41.50%,34.00%,7.50%,-0.246226,-0.373798,-0.118653,47.35%,42,147,170,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,2,20,coin_flip,359,52.09%,42.06%,34.00%,8.06%,-0.222428,-0.346346,-0.098510,47.63%,41,147,171,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,2,20,prior_momentum,359,48.19%,40.95%,34.00%,6.95%,-0.229781,-0.351079,-0.108482,47.91%,43,144,172,10.000000,0.020000,False
test_2022_2026,A_immediate_compression_close,fixed_10,2,20,simple_follow,359,61.56%,64.62%,34.00%,30.62%,0.375480,0.252343,0.498617,56.27%,83,74,202,10.000000,0.020000,True
test_2022_2026,A_immediate_compression_close,atr_1x,1,10,wyckoff_rsi,359,50.70%,48.19%,54.06%,-5.88%,-0.409492,-0.555461,-0.263524,0.56%,173,184,2,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,1,10,coin_flip,359,52.09%,46.80%,54.06%,-7.27%,-0.413818,-0.549572,-0.278065,0.56%,167,190,2,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,1,10,prior_momentum,359,48.19%,49.03%,54.06%,-5.04%,-0.409716,-0.557775,-0.261658,0.56%,175,182,2,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,1,10,simple_follow,359,61.56%,67.97%,54.06%,13.90%,0.147163,0.028271,0.266055,0.56%,243,114,2,4.144764,0.081296,True
test_2022_2026,A_immediate_compression_close,atr_1x,1,20,wyckoff_rsi,359,50.70%,48.19%,54.06%,-5.88%,-0.412642,-0.558768,-0.266516,0.28%,173,185,1,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,1,20,coin_flip,359,52.09%,46.80%,54.06%,-7.27%,-0.412363,-0.548242,-0.276483,0.28%,168,190,1,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,1,20,prior_momentum,359,48.19%,49.03%,54.06%,-5.04%,-0.408261,-0.556434,-0.260087,0.28%,176,182,1,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,1,20,simple_follow,359,61.56%,67.97%,54.06%,13.90%,0.148619,0.029657,0.267581,0.28%,244,114,1,4.144764,0.081296,True
test_2022_2026,A_immediate_compression_close,atr_1x,2,10,wyckoff_rsi,359,50.70%,32.87%,36.04%,-3.17%,-0.513055,-0.698140,-0.327970,5.57%,104,235,20,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,2,10,coin_flip,359,52.09%,33.15%,36.04%,-2.90%,-0.457062,-0.625497,-0.288628,6.41%,101,235,23,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,2,10,prior_momentum,359,48.19%,33.70%,36.04%,-2.34%,-0.525581,-0.711441,-0.339720,5.85%,103,235,21,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,2,10,simple_follow,359,61.56%,55.15%,36.04%,19.11%,0.346777,0.174899,0.518656,8.91%,173,154,32,4.144764,0.081296,True
test_2022_2026,A_immediate_compression_close,atr_1x,2,20,wyckoff_rsi,359,50.70%,31.48%,36.04%,-4.57%,-0.540532,-0.727391,-0.353672,1.11%,111,244,4,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,2,20,coin_flip,359,52.09%,31.75%,36.04%,-4.29%,-0.467543,-0.640530,-0.294556,0.84%,112,244,3,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,2,20,prior_momentum,359,48.19%,32.31%,36.04%,-3.73%,-0.526503,-0.715218,-0.337789,1.39%,113,241,5,4.144764,0.081296,False
test_2022_2026,A_immediate_compression_close,atr_1x,2,20,simple_follow,359,61.56%,54.04%,36.04%,18.00%,0.344458,0.167906,0.521010,1.67%,190,163,6,4.144764,0.081296,True
test_2022_2026,B_breakout_edge_filter,fixed_10,1,10,wyckoff_rsi,250,100.00%,62.80%,51.00%,11.80%,0.111523,-0.003355,0.226401,45.20%,92,45,113,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,1,10,coin_flip,176,100.00%,63.07%,51.00%,12.07%,0.093516,-0.057242,0.244274,46.02%,64,31,81,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,1,10,prior_momentum,200,100.00%,61.00%,51.00%,10.00%,0.063318,-0.069846,0.196482,43.00%,72,42,86,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,1,10,simple_follow,359,100.00%,62.95%,51.00%,11.95%,0.120414,0.021935,0.218892,43.73%,138,64,157,10.000000,0.020000,True
test_2022_2026,B_breakout_edge_filter,fixed_10,1,20,wyckoff_rsi,250,100.00%,61.20%,51.00%,10.20%,0.134431,0.005947,0.262916,24.00%,124,66,60,10.000000,0.020000,True
test_2022_2026,B_breakout_edge_filter,fixed_10,1,20,coin_flip,176,100.00%,63.64%,51.00%,12.64%,0.119364,-0.043710,0.282439,28.41%,84,42,50,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,1,20,prior_momentum,200,100.00%,59.50%,51.00%,8.50%,0.072757,-0.074538,0.220053,22.00%,97,59,44,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,1,20,simple_follow,359,100.00%,62.40%,51.00%,11.40%,0.142726,0.034316,0.251136,24.23%,180,92,87,10.000000,0.020000,True
test_2022_2026,B_breakout_edge_filter,fixed_10,2,10,wyckoff_rsi,250,100.00%,55.60%,34.00%,21.60%,0.068658,-0.081734,0.219050,62.00%,37,58,155,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,2,10,coin_flip,176,100.00%,55.68%,34.00%,21.68%,0.024782,-0.158386,0.207950,65.91%,21,39,116,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,2,10,prior_momentum,200,100.00%,54.50%,34.00%,20.50%,0.065538,-0.096941,0.228016,62.50%,28,47,125,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,2,10,simple_follow,359,100.00%,56.27%,34.00%,22.27%,0.111006,-0.016385,0.238396,61.84%,58,79,222,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,2,20,wyckoff_rsi,250,100.00%,50.40%,34.00%,16.40%,0.060225,-0.110007,0.230457,44.00%,54,86,110,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,2,20,coin_flip,176,100.00%,53.98%,34.00%,19.98%,0.065280,-0.142835,0.273394,48.30%,37,54,85,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,2,20,prior_momentum,200,100.00%,49.50%,34.00%,15.50%,0.051104,-0.137802,0.240009,41.50%,45,72,83,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,fixed_10,2,20,simple_follow,359,100.00%,52.37%,34.00%,18.37%,0.116106,-0.027236,0.259447,44.29%,83,117,159,10.000000,0.020000,False
test_2022_2026,B_breakout_edge_filter,atr_1x,1,10,wyckoff_rsi,250,100.00%,69.20%,53.49%,15.71%,0.164958,0.013625,0.316290,1.20%,172,75,3,4.728554,0.069802,True
test_2022_2026,B_breakout_edge_filter,atr_1x,1,10,coin_flip,176,100.00%,69.89%,53.48%,16.41%,0.221258,0.058646,0.383870,1.70%,122,51,3,5.097891,0.069529,True
test_2022_2026,B_breakout_edge_filter,atr_1x,1,10,prior_momentum,200,100.00%,69.00%,53.32%,15.68%,0.170583,0.003385,0.337781,2.50%,136,59,5,5.273064,0.066301,True
test_2022_2026,B_breakout_edge_filter,atr_1x,1,10,simple_follow,359,100.00%,70.47%,53.41%,17.06%,0.195751,0.069633,0.321870,1.39%,251,103,5,4.909539,0.068296,True
test_2022_2026,B_breakout_edge_filter,atr_1x,1,20,wyckoff_rsi,250,100.00%,69.60%,53.49%,16.11%,0.173507,0.022156,0.324857,0.40%,174,75,1,4.728554,0.069802,True
test_2022_2026,B_breakout_edge_filter,atr_1x,1,20,coin_flip,176,100.00%,69.89%,53.48%,16.41%,0.210283,0.045816,0.374749,1.14%,122,52,2,5.097891,0.069529,True
test_2022_2026,B_breakout_edge_filter,atr_1x,1,20,prior_momentum,200,100.00%,69.50%,53.32%,16.18%,0.171611,0.003040,0.340182,1.00%,138,60,2,5.273064,0.066301,True
test_2022_2026,B_breakout_edge_filter,atr_1x,1,20,simple_follow,359,100.00%,70.75%,53.41%,17.34%,0.196324,0.069641,0.323008,0.56%,253,104,2,4.909539,0.068296,True
test_2022_2026,B_breakout_edge_filter,atr_1x,2,10,wyckoff_rsi,250,100.00%,54.00%,35.66%,18.34%,0.203306,-0.011223,0.417836,11.60%,111,110,29,4.728554,0.069802,False
test_2022_2026,B_breakout_edge_filter,atr_1x,2,10,coin_flip,176,100.00%,53.98%,35.65%,18.33%,0.278889,0.033948,0.523830,10.80%,81,76,19,5.097891,0.069529,True
test_2022_2026,B_breakout_edge_filter,atr_1x,2,10,prior_momentum,200,100.00%,54.00%,35.54%,18.46%,0.239624,0.004081,0.475166,13.00%,89,85,26,5.273064,0.066301,True
test_2022_2026,B_breakout_edge_filter,atr_1x,2,10,simple_follow,359,100.00%,55.71%,35.61%,20.10%,0.294827,0.115658,0.473996,10.58%,170,151,38,4.909539,0.068296,True
test_2022_2026,B_breakout_edge_filter,atr_1x,2,20,wyckoff_rsi,250,100.00%,49.60%,35.66%,13.94%,0.137667,-0.090622,0.365956,2.40%,121,123,6,4.728554,0.069802,False
test_2022_2026,B_breakout_edge_filter,atr_1x,2,20,coin_flip,176,100.00%,50.57%,35.65%,14.92%,0.198704,-0.063316,0.460723,3.98%,85,84,7,5.097891,0.069529,False
test_2022_2026,B_breakout_edge_filter,atr_1x,2,20,prior_momentum,200,100.00%,50.50%,35.54%,14.96%,0.199707,-0.048055,0.447469,2.50%,98,97,5,5.273064,0.066301,False
test_2022_2026,B_breakout_edge_filter,atr_1x,2,20,simple_follow,359,100.00%,52.37%,35.61%,16.76%,0.238189,0.048865,0.427513,2.79%,182,167,10,4.909539,0.068296,True

VERDICT
approach_a_wyckoff_direction_correct=48.47%
approach_b_wyckoff_direction_correct=100.00%
best_wyckoff_cell=('B_breakout_edge_filter', 'atr_1x', 2.0, 10, 'wyckoff_rsi'),expectancy_r=0.212601,ci_low=0.075437,ci_high=0.349765
best_simple_follow_cell=('A_immediate_compression_close', 'atr_1x', 2.0, 20, 'simple_follow'),expectancy_r=0.337476,ci_low=0.225496,ci_high=0.449455
wyckoff_cells_passing_all_train_test_and_baseline_checks=none
interpretation=No Wyckoff cell clears zero in all sample, train, and test while also beating same-exit baselines. Treat isolated positive cells as noise.
