V_2026_PARITY_01B_BOT_LOGIC_PARITY_AUDIT
live_bot_file_modified,false
mt5_import_stubbed,true
old_v_2026_parity_01_status,INVALID_HARNESS_SAME_BAR_EXIT_BUG
research_exit_convention,ablate.simulate uses eval_start=entry_index+1; fill bar extremes are not evaluated against the new position

GOLDEN_LIVE_REPLAY_CHECK
required_match_pct,0.9500
live_log,research/iux_compression_breakout_live_log.csv
historical_window_bars,277
live_event_count,16
harness_event_count,53
reconciliation,event,live_time,harness_time,live_direction,harness_direction,live_high,harness_high,live_low,harness_low,live_intended,harness_intended,notes
HARNESS_ONLY,signal,,2026-06-30T14:15:00+00:00,,oco,,4037.37,,4008.73,,None,compression confirmed
HARNESS_ONLY,signal,,2026-06-30T14:30:00+00:00,,oco,,4037.37,,4008.73,,None,compression confirmed
HARNESS_ONLY,signal,,2026-06-30T14:45:00+00:00,,oco,,4037.37,,4008.73,,None,compression confirmed
HARNESS_ONLY,signal,,2026-06-30T21:30:00+00:00,,oco,,4033.92,,4010.28,,None,compression confirmed
HARNESS_ONLY,order_skip,,2026-06-30T21:45:00+00:00,,,,4033.81,,4006.14,,None,session flatten window
HARNESS_ONLY,order_skip,,2026-06-30T23:00:00+00:00,,,,4033.81,,4006.14,,None,session flatten window
HARNESS_ONLY,order_skip,,2026-06-30T23:15:00+00:00,,,,4033.81,,4006.14,,None,session flatten window
HARNESS_ONLY,order_skip,,2026-06-30T23:30:00+00:00,,,,4033.81,,4006.14,,None,session flatten window
HARNESS_ONLY,signal,,2026-07-01T00:00:00+00:00,,oco,,4032.97,,4006.14,,None,compression confirmed
HARNESS_ONLY,signal,,2026-07-01T00:15:00+00:00,,oco,,4032.53,,4006.14,,None,compression confirmed
HARNESS_ONLY,signal,,2026-07-01T00:30:00+00:00,,oco,,4032.53,,4006.14,,None,compression confirmed
HARNESS_ONLY,signal,,2026-07-01T00:45:00+00:00,,oco,,4029.49,,4005.37,,None,compression confirmed
HARNESS_ONLY,signal,,2026-07-01T01:00:00+00:00,,oco,,4025.15,,4005.37,,None,compression confirmed
HARNESS_ONLY,signal,,2026-07-01T01:15:00+00:00,,oco,,4023.23,,4001.41,,None,compression confirmed
HARNESS_ONLY,signal,,2026-07-01T01:30:00+00:00,,oco,,4022.62,,3996.31,,None,compression confirmed
HARNESS_ONLY,signal,,2026-07-01T01:45:00+00:00,,oco,,4021.1,,3993.14,,None,compression confirmed
HARNESS_ONLY,signal,,2026-07-01T02:00:00+00:00,,oco,,4021.1,,3978.95,,None,compression confirmed
HARNESS_ONLY,signal,,2026-07-01T02:15:00+00:00,,oco,,4018.44,,3975.66,,None,compression confirmed
HARNESS_ONLY,signal,,2026-07-01T02:30:00+00:00,,oco,,4018.44,,3975.18,,None,compression confirmed
HARNESS_ONLY,signal,,2026-07-01T02:45:00+00:00,,oco,,4018.44,,3973.98,,None,compression confirmed
golden_matched,6
golden_match_pct,0.3750
golden_status,FAIL_MATCH_GATE

TEN_YEAR_REPLAY_STATUS,NOT_RUN_GOLDEN_GATE_FAILED
VERDICT,No 10-year bot-leg numbers are reported because the hard golden replay gate did not pass in this environment.
