ATR_LOOKAHEAD_FIX_CONTEXT
before_breakout_atr=old look-ahead mode: risk from breakout bar ATR14
after_compression_atr=correct live-matched mode: risk from compression-end bar ATR14
entry=range edge; stop=1R; targets=1/1.5/2R; force close=10/20 bars
symbol_context=XAUUSD,tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv,bars=246886,date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC,compression_events=2858,spread=0.2000
symbol_context=XAGUSD,tick_file=data/2026.6.28XAGUSD-TICK-No Session.csv,bars=247673,date_range=2016-01-03 23:00:00 to 2026-06-26 21:00:00 UTC,compression_events=2687,spread=0.0200

ATR_LOOKAHEAD_ALL
period,symbol,atr_mode,exit,horizon,signal,n,gross_mean,gross_ci_low,gross_ci_high,net_mean,net_ci_low,net_ci_high,win_rate,unresolved_pct,false_breakout_pct,avg_risk,avg_spread_r,beats_random_gross,beats_random_net,gross_class,net_class,target_count,stop_count,force_count
test_2022_2026,XAGUSD,before_breakout_atr,rr_1_5,10,random,1083,-0.382491,-0.477963,-0.287019,-0.715101,-0.811152,-0.619049,39.70%,4.89%,2.03%,0.116369,0.332610,False,False,baseline,baseline,402,628,53
test_2022_2026,XAGUSD,before_breakout_atr,rr_1_5,20,simple_follow,1083,0.238854,0.149500,0.328207,-0.093756,-0.183625,-0.003887,57.53%,2.31%,2.03%,0.116369,0.332610,True,True,C_confirmed,A_absent,611,447,25
test_2022_2026,XAGUSD,before_breakout_atr,rr_1_5,20,random,1083,-0.394749,-0.491001,-0.298496,-0.727358,-0.824154,-0.630563,39.61%,2.40%,2.03%,0.116369,0.332610,False,False,baseline,baseline,414,643,26
test_2022_2026,XAGUSD,before_breakout_atr,rr_2,10,simple_follow,1083,0.239623,0.137859,0.341388,-0.092987,-0.195355,0.009382,50.23%,9.88%,2.03%,0.116369,0.332610,True,True,C_confirmed,A_absent,479,497,107
test_2022_2026,XAGUSD,before_breakout_atr,rr_2,10,random,1083,-0.369279,-0.473285,-0.265273,-0.701888,-0.806213,-0.597563,35.09%,8.59%,2.03%,0.116369,0.332610,False,False,baseline,baseline,324,666,93
test_2022_2026,XAGUSD,before_breakout_atr,rr_2,20,simple_follow,1083,0.204165,0.099006,0.309324,-0.128444,-0.234123,-0.022766,48.75%,3.69%,2.03%,0.116369,0.332610,True,True,C_confirmed,A_absent,505,538,40
test_2022_2026,XAGUSD,before_breakout_atr,rr_2,20,random,1083,-0.395687,-0.501874,-0.289500,-0.728297,-0.834819,-0.621774,34.07%,3.42%,2.03%,0.116369,0.332610,False,False,baseline,baseline,348,698,37
test_2022_2026,XAGUSD,after_compression_atr,rr_1,10,simple_follow,1083,0.216459,0.143365,0.289553,-0.167318,-0.241004,-0.093632,69.07%,1.85%,2.03%,0.102808,0.383777,True,True,C_confirmed,A_absent,740,323,20
test_2022_2026,XAGUSD,after_compression_atr,rr_1,10,random,1083,-0.502926,-0.598108,-0.407744,-0.886703,-0.982534,-0.790871,46.63%,1.85%,2.03%,0.102808,0.383777,False,False,baseline,baseline,499,564,20
test_2022_2026,XAGUSD,after_compression_atr,rr_1,20,simple_follow,1083,0.210597,0.137175,0.284019,-0.173180,-0.247137,-0.099224,68.88%,1.20%,2.03%,0.102808,0.383777,True,True,C_confirmed,A_absent,742,328,13
test_2022_2026,XAGUSD,after_compression_atr,rr_1,20,random,1083,-0.505239,-0.600562,-0.409917,-0.889016,-0.984967,-0.793066,46.81%,1.20%,2.03%,0.102808,0.383777,False,False,baseline,baseline,502,568,13
test_2022_2026,XAGUSD,after_compression_atr,rr_1_5,10,simple_follow,1083,0.278854,0.187474,0.370234,-0.104923,-0.196866,-0.012979,60.48%,3.88%,2.03%,0.102808,0.383777,True,True,C_confirmed,A_absent,627,414,42
test_2022_2026,XAGUSD,after_compression_atr,rr_1_5,10,random,1083,-0.464034,-0.570262,-0.357806,-0.847811,-0.954806,-0.740816,40.54%,3.23%,2.03%,0.102808,0.383777,False,False,baseline,baseline,420,628,35
test_2022_2026,XAGUSD,after_compression_atr,rr_1_5,20,simple_follow,1083,0.259742,0.167252,0.352232,-0.124035,-0.216927,-0.031143,59.65%,1.85%,2.03%,0.102808,0.383777,True,True,C_confirmed,A_absent,634,429,20
test_2022_2026,XAGUSD,after_compression_atr,rr_1_5,20,random,1083,-0.472788,-0.579472,-0.366103,-0.856565,-0.963993,-0.749137,40.54%,1.85%,2.03%,0.102808,0.383777,False,False,baseline,baseline,426,637,20
test_2022_2026,XAGUSD,after_compression_atr,rr_2,10,simple_follow,1083,0.280981,0.174865,0.387097,-0.102796,-0.209532,0.003941,52.35%,6.46%,2.03%,0.102808,0.383777,True,True,C_confirmed,A_absent,521,492,70
test_2022_2026,XAGUSD,after_compression_atr,rr_2,10,random,1083,-0.470120,-0.585042,-0.355199,-0.853897,-0.969563,-0.738231,35.09%,5.17%,2.03%,0.102808,0.383777,False,False,baseline,baseline,345,682,56
test_2022_2026,XAGUSD,after_compression_atr,rr_2,20,simple_follow,1083,0.253118,0.144517,0.361718,-0.130659,-0.239777,-0.021542,51.25%,2.31%,2.03%,0.102808,0.383777,True,True,C_confirmed,A_absent,539,519,25
test_2022_2026,XAGUSD,after_compression_atr,rr_2,20,random,1083,-0.492758,-0.608927,-0.376589,-0.876535,-0.993431,-0.759639,34.44%,2.22%,2.03%,0.102808,0.383777,False,False,baseline,baseline,358,701,24
test_2022_2026,XAUUSD,before_breakout_atr,rr_1,10,simple_follow,1116,0.295999,0.228354,0.363644,0.205479,0.137653,0.273304,71.06%,1.34%,1.97%,3.752813,0.090520,True,True,C_confirmed,C_confirmed,790,311,15
test_2022_2026,XAUUSD,before_breakout_atr,rr_1,10,random,1116,-0.324521,-0.410762,-0.238280,-0.415041,-0.501360,-0.328723,51.43%,1.34%,1.97%,3.752813,0.090520,False,False,baseline,baseline,565,536,15
test_2022_2026,XAUUSD,before_breakout_atr,rr_1,20,simple_follow,1116,0.296067,0.228237,0.363897,0.205547,0.137546,0.273547,71.24%,0.81%,1.97%,3.752813,0.090520,True,True,C_confirmed,C_confirmed,793,314,9
test_2022_2026,XAUUSD,before_breakout_atr,rr_1,20,random,1116,-0.328609,-0.414964,-0.242253,-0.419129,-0.505564,-0.332694,51.25%,0.81%,1.97%,3.752813,0.090520,False,False,baseline,baseline,567,540,9
test_2022_2026,XAUUSD,before_breakout_atr,rr_1_5,10,simple_follow,1116,0.340979,0.254511,0.427448,0.250459,0.163813,0.337105,61.20%,4.21%,1.97%,3.752813,0.090520,True,True,C_confirmed,C_confirmed,657,412,47
test_2022_2026,XAUUSD,before_breakout_atr,rr_1_5,10,random,1116,-0.335394,-0.433877,-0.236910,-0.425914,-0.524479,-0.327349,43.19%,3.58%,1.97%,3.752813,0.090520,False,False,baseline,baseline,455,621,40
test_2022_2026,XAUUSD,before_breakout_atr,rr_1_5,20,simple_follow,1116,0.307328,0.216030,0.398625,0.216807,0.125338,0.308276,60.66%,1.70%,1.97%,3.752813,0.090520,True,True,C_confirmed,C_confirmed,666,431,19
test_2022_2026,XAUUSD,before_breakout_atr,rr_1_5,20,random,1116,-0.365902,-0.467439,-0.264365,-0.456423,-0.558051,-0.354794,42.56%,1.52%,1.97%,3.752813,0.090520,False,False,baseline,baseline,462,637,17
test_2022_2026,XAUUSD,before_breakout_atr,rr_2,10,simple_follow,1116,0.321278,0.220585,0.421970,0.230757,0.129970,0.331544,53.58%,9.59%,1.97%,3.752813,0.090520,True,True,C_confirmed,C_confirmed,518,491,107
test_2022_2026,XAUUSD,before_breakout_atr,rr_2,10,random,1116,-0.355915,-0.463076,-0.248754,-0.446435,-0.553647,-0.339223,38.08%,8.06%,1.97%,3.752813,0.090520,False,False,baseline,baseline,354,672,90
test_2022_2026,XAUUSD,before_breakout_atr,rr_2,20,simple_follow,1116,0.257844,0.150781,0.364907,0.167324,0.060195,0.274452,50.81%,2.78%,1.97%,3.752813,0.090520,True,True,C_confirmed,C_confirmed,547,538,31
test_2022_2026,XAUUSD,before_breakout_atr,rr_2,20,random,1116,-0.402845,-0.514434,-0.291256,-0.493365,-0.604984,-0.381746,35.93%,2.60%,1.97%,3.752813,0.090520,False,False,baseline,baseline,379,708,29
test_2022_2026,XAUUSD,after_compression_atr,rr_1,10,simple_follow,1116,0.315385,0.246119,0.384652,0.211217,0.141874,0.280560,72.94%,1.43%,1.97%,3.262479,0.104168,True,True,C_confirmed,C_confirmed,809,291,16
test_2022_2026,XAUUSD,after_compression_atr,rr_1,10,random,1116,-0.456914,-0.559054,-0.354774,-0.561082,-0.663460,-0.458704,50.63%,1.43%,1.97%,3.262479,0.104168,False,False,baseline,baseline,557,543,16
test_2022_2026,XAUUSD,after_compression_atr,rr_1,20,simple_follow,1116,0.313809,0.244472,0.383146,0.209641,0.140233,0.279048,72.94%,1.25%,1.97%,3.262479,0.104168,True,True,C_confirmed,C_confirmed,809,293,14
test_2022_2026,XAUUSD,after_compression_atr,rr_1,20,random,1116,-0.456751,-0.558924,-0.354579,-0.560919,-0.663329,-0.458510,50.63%,1.25%,1.97%,3.262479,0.104168,False,False,baseline,baseline,558,544,14
test_2022_2026,XAUUSD,after_compression_atr,rr_1_5,10,simple_follow,1116,0.367430,0.278610,0.456250,0.263262,0.174341,0.352183,62.99%,2.78%,1.97%,3.262479,0.104168,True,True,C_confirmed,C_confirmed,687,398,31
test_2022_2026,XAUUSD,after_compression_atr,rr_1_5,10,random,1116,-0.455310,-0.568586,-0.342033,-0.559478,-0.672964,-0.445991,43.01%,2.42%,1.97%,3.262479,0.104168,False,False,baseline,baseline,463,626,27
test_2022_2026,XAUUSD,after_compression_atr,rr_1_5,20,simple_follow,1116,0.354572,0.265160,0.443983,0.250404,0.160929,0.339878,62.46%,1.52%,1.97%,3.262479,0.104168,True,True,C_confirmed,C_confirmed,689,410,17
test_2022_2026,XAUUSD,after_compression_atr,rr_1_5,20,random,1116,-0.463021,-0.576455,-0.349587,-0.567189,-0.680819,-0.453559,42.65%,1.52%,1.97%,3.262479,0.104168,False,False,baseline,baseline,466,633,17
test_2022_2026,XAUUSD,after_compression_atr,rr_2,10,simple_follow,1116,0.408581,0.304559,0.512603,0.304413,0.200372,0.408453,56.00%,5.91%,1.97%,3.262479,0.104168,True,True,C_confirmed,C_confirmed,581,469,66
test_2022_2026,XAUUSD,after_compression_atr,rr_2,10,random,1116,-0.455075,-0.577604,-0.332545,-0.559243,-0.681944,-0.436541,37.81%,4.48%,1.97%,3.262479,0.104168,False,False,baseline,baseline,385,681,50
test_2022_2026,XAUUSD,after_compression_atr,rr_2,20,simple_follow,1116,0.361219,0.251921,0.470517,0.257051,0.147752,0.366350,54.39%,2.24%,1.97%,3.262479,0.104168,True,True,C_confirmed,C_confirmed,592,499,25
test_2022_2026,XAUUSD,after_compression_atr,rr_2,20,random,1116,-0.485913,-0.612146,-0.359681,-0.590081,-0.716487,-0.463675,36.92%,1.88%,1.97%,3.262479,0.104168,False,False,baseline,baseline,398,697,21

BEFORE_AFTER_DELTA_ALL_SIMPLE_FOLLOW
symbol,exit,horizon,before_net,after_net,delta_after_minus_before,before_spread_r,after_spread_r,before_unresolved,after_unresolved,before_win,after_win
XAGUSD,rr_1,10,-0.359546,-0.499170,-0.139624,0.624694,0.735453,1.50%,1.17%,57.05%,50.58%
XAGUSD,rr_1,20,-0.361566,-0.501558,-0.139992,0.624694,0.735453,0.94%,0.90%,57.05%,50.51%
XAGUSD,rr_1_5,10,-0.351337,-0.415632,-0.064294,0.624694,0.735453,4.17%,2.48%,55.58%,54.87%
XAGUSD,rr_1_5,20,-0.364767,-0.424295,-0.059528,0.624694,0.735453,1.81%,1.43%,55.47%,54.57%
XAGUSD,rr_2,10,-0.367306,-0.405058,-0.037752,0.624694,0.735453,8.01%,4.48%,49.49%,52.58%
XAGUSD,rr_2,20,-0.393055,-0.421234,-0.028179,0.624694,0.735453,2.75%,1.73%,49.27%,52.28%
XAUUSD,rr_1,10,0.187199,0.168282,-0.018917,0.149645,0.174803,1.27%,1.09%,73.35%,74.59%
XAUUSD,rr_1,20,0.188725,0.167661,-0.021063,0.149645,0.174803,0.88%,1.02%,73.49%,74.59%
XAUUSD,rr_1_5,10,0.229431,0.222995,-0.006436,0.149645,0.174803,3.28%,1.94%,62.90%,64.42%
XAUUSD,rr_1_5,20,0.217492,0.217814,0.000322,0.149645,0.174803,1.45%,1.20%,62.65%,64.21%
XAUUSD,rr_2,10,0.213577,0.270025,0.056447,0.149645,0.174803,7.59%,4.41%,54.71%,57.29%
XAUUSD,rr_2,20,0.180092,0.247384,0.067292,0.149645,0.174803,2.19%,1.69%,53.09%,56.48%
