ATR_LOOKAHEAD_FIX_CONTEXT
before_breakout_atr=old look-ahead mode: risk from breakout bar ATR14
after_compression_atr=correct live-matched mode: risk from compression-end bar ATR14
entry=range edge; stop=1R; targets=1/1.5/2R; force close=10/20 bars
symbol_context=XAUUSD,tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv,bars=246886,date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC,compression_events=2858,spread=0.2000
symbol_context=XAGUSD,tick_file=data/2026.6.28XAGUSD-TICK-No Session.csv,bars=247673,date_range=2016-01-03 23:00:00 to 2026-06-26 21:00:00 UTC,compression_events=2687,spread=0.0200

ATR_LOOKAHEAD_ALL
period,symbol,atr_mode,exit,horizon,signal,n,gross_mean,gross_ci_low,gross_ci_high,net_mean,net_ci_low,net_ci_high,win_rate,unresolved_pct,false_breakout_pct,avg_risk,avg_spread_r,beats_random_gross,beats_random_net,gross_class,net_class,target_count,stop_count,force_count
all,XAGUSD,after_compression_atr,rr_2,20,random,2659,-0.558051,-0.636881,-0.479222,-1.293505,-1.374926,-1.212083,34.30%,1.77%,1.77%,0.058695,0.735453,False,False,baseline,baseline,897,1715,47
all,XAUUSD,before_breakout_atr,rr_1,10,simple_follow,2833,0.336844,0.293868,0.379820,0.187199,0.144096,0.230302,73.35%,1.27%,1.55%,2.311697,0.149645,True,True,C_confirmed,C_confirmed,2067,730,36
all,XAUUSD,before_breakout_atr,rr_1,10,random,2833,-0.422404,-0.481910,-0.362898,-0.572049,-0.631723,-0.512375,49.06%,1.27%,1.55%,2.311697,0.149645,False,False,baseline,baseline,1377,1420,36
all,XAUUSD,before_breakout_atr,rr_1,20,simple_follow,2833,0.338369,0.295343,0.381396,0.188725,0.145571,0.231878,73.49%,0.88%,1.55%,2.311697,0.149645,True,True,C_confirmed,C_confirmed,2075,733,25
all,XAUUSD,before_breakout_atr,rr_1,20,random,2833,-0.424360,-0.483914,-0.364805,-0.574005,-0.633725,-0.514284,49.06%,0.88%,1.55%,2.311697,0.149645,False,False,baseline,baseline,1381,1427,25
all,XAUUSD,before_breakout_atr,rr_1_5,10,simple_follow,2833,0.379076,0.323791,0.434361,0.229431,0.174072,0.284790,62.90%,3.28%,1.55%,2.311697,0.149645,True,True,C_confirmed,C_confirmed,1731,1009,93
all,XAUUSD,before_breakout_atr,rr_1_5,10,random,2833,-0.424841,-0.491291,-0.358392,-0.574486,-0.641094,-0.507879,41.33%,2.97%,1.55%,2.311697,0.149645,False,False,baseline,baseline,1126,1623,84
all,XAUUSD,before_breakout_atr,rr_1_5,20,simple_follow,2833,0.367137,0.310452,0.423821,0.217492,0.160755,0.274229,62.65%,1.45%,1.55%,2.311697,0.149645,True,True,C_confirmed,C_confirmed,1755,1037,41
all,XAUUSD,before_breakout_atr,rr_1_5,20,random,2833,-0.438485,-0.505791,-0.371179,-0.588130,-0.655580,-0.520680,41.09%,1.38%,1.55%,2.311697,0.149645,False,False,baseline,baseline,1143,1651,39
all,XAUUSD,before_breakout_atr,rr_2,10,simple_follow,2833,0.363222,0.297932,0.428513,0.213577,0.148285,0.278870,54.71%,7.59%,1.55%,2.311697,0.149645,True,True,C_confirmed,C_confirmed,1401,1217,215
